nombre,longitud_esperada,prob_cobertura
asintotico_cuadratico,0.05189946529056774,0.94826
asintotico_slutsky,0.04672492204904085,0.899415
bootstrap,0.045016235829999994,0.885055
clopper,0.05490552141946292,0.96072
