k,n,p,nombre,longitud_esperada,prob_cobertura
20,20,0.1,asintotico_slutsky,0.05868841073518449,0.943
20,20,0.1,bootstrap,0.05608840625,0.9055
20,20,0.1,clopper,0.06116328547362585,0.948
20,20,0.5,asintotico_cuadratico,0.0974095671089898,0.9475
20,20,0.5,asintotico_slutsky,0.09787501914182159,0.9475
20,20,0.5,bootstrap,0.09407184375,0.9185
20,20,0.5,clopper,0.10006181448782912,0.9605
20,20,0.9,asintotico_cuadratico,0.05882349151466663,0.9375
20,20,0.9,asintotico_slutsky,0.05860316504013012,0.9395
20,20,0.9,bootstrap,0.055816781249999996,0.91
20,20,0.9,clopper,0.0610788146629537,0.9475
20,20,0.99,asintotico_cuadratico,0.021156738118550907,0.9315
20,20,0.99,asintotico_slutsky,0.018855995521051955,0.912
20,20,0.99,bootstrap,0.017587999999999947,0.8875
20,20,0.99,clopper,0.0221976361103844,0.966
20,50,0.01,asintotico_cuadratico,0.012755751882864144,0.958
20,50,0.01,asintotico_slutsky,0.012199022591491306,0.9325
20,50,0.01,bootstrap,0.011592137499999999,0.8895
20,50,0.01,clopper,0.013381186879718515,0.973
20,50,0.1,asintotico_cuadratico,0.03720167321298432,0.948
20,50,0.1,asintotico_slutsky,0.03714612052645634,0.9545
20,50,0.1,bootstrap,0.035601524999999995,0.9205
20,50,0.1,clopper,0.03814129429274662,0.9555
20,50,0.5,asintotico_cuadratico,0.06182895306071743,0.945
20,50,0.5,asintotico_slutsky,0.061947473253916904,0.945
20,50,0.5,bootstrap,0.059344175000000006,0.916
20,50,0.5,clopper,0.06286970432490882,0.9545
20,50,0.9,asintotico_cuadratico,0.03724130292794736,0.939
20,50,0.9,asintotico_slutsky,0.037186104908184144,0.946
20,50,0.9,bootstrap,0.035540875,0.9125
20,50,0.9,clopper,0.03818113585667001,0.9495
20,50,0.99,asintotico_cuadratico,0.012675247943179858,0.963
20,50,0.99,asintotico_slutsky,0.012114192620188738,0.9235
20,50,0.99,bootstrap,0.011541175000000006,0.883
20,50,0.99,clopper,0.013297937719645174,0.977
20,100,0.01,asintotico_cuadratico,0.008867321997698836,0.943
20,100,0.01,asintotico_slutsky,0.008671602730352302,0.949
20,100,0.01,bootstrap,0.008248793749999999,0.909
20,100,0.01,clopper,0.00923514302731816,0.9565
20,100,0.1,asintotico_cuadratico,0.02628480211868637,0.957
20,100,0.1,asintotico_slutsky,0.026265089568630707,0.9515
20,100,0.1,bootstrap,0.024997799999999997,0.9265
20,100,0.1,clopper,0.026763681071067816,0.9595
20,100,0.5,asintotico_cuadratico,0.043772796845652454,0.9455
20,100,0.5,asintotico_slutsky,0.043814792791082635,0.9455
20,100,0.5,bootstrap,0.041760968749999995,0.9135
20,100,0.5,clopper,0.044287571507056506,0.9495
20,100,0.9,asintotico_cuadratico,0.02629912123719571,0.958
20,100,0.9,asintotico_slutsky,0.026279475163354528,0.9525
20,100,0.9,bootstrap,0.02507329375,0.924
20,100,0.9,clopper,0.02677804011423711,0.962
20,100,0.99,asintotico_cuadratico,0.008855648778753871,0.952
20,100,0.99,asintotico_slutsky,0.008659732946503998,0.956
20,100,0.99,bootstrap,0.008284906250000008,0.9085
20,100,0.99,clopper,0.009223343665323814,0.966
50,1,0.01,asintotico_cuadratico,0.08629759243085232,0.9015
50,1,0.01,asintotico_slutsky,0.03549612236683594,0.411
50,1,0.01,bootstrap,0.029494499999999996,0.409
50,1,0.01,clopper,0.08850242641560248,0.9805
50,1,0.1,asintotico_cuadratico,0.16579221934714497,0.9715
50,1,0.1,asintotico_slutsky,0.16021065009243246,0.8805
50,1,0.1,bootstrap,0.15657975,0.867
50,1,0.1,clopper,0.17970772655861456,0.9715
50,1,0.5,asintotico_cuadratico,0.26451490270714345,0.9315
50,1,0.5,asintotico_slutsky,0.27427777194395325,0.9315
50,1,0.5,bootstrap,0.27396699999999996,0.928
50,1,0.5,clopper,0.2866933805422483,0.9625
50,1,0.9,asintotico_cuadratico,0.16594571570501548,0.98
50,1,0.9,asintotico_slutsky,0.1604870028586611,0.8735
50,1,0.9,bootstrap,0.15645099999999998,0.8615
50,1,0.9,clopper,0.17987818504819386,0.98
50,1,0.99,asintotico_cuadratico,0.08562428400413549,0.909
50,1,0.99,asintotico_slutsky,0.034067498847580376,0.3975
